Time,Open,High,Low,Last,Change,%Chg,Volume
2024-10-04,272.98,273.45,270.56,273.09,-1.78,-0.65%,56409862
2024-10-03,276.77,277.21,274.21,274.87,-2.71,-0.98%,56522282
2024-10-02,276.07,277.97,275.82,277.58,-1.04,-0.37%,72875972
2024-10-01,281.34,281.34,277.43,278.62,-1.84,-0.66%,66014725
2024-09-30,277.74,280.62,276.65,280.46,2.12,+0.76%,86833232
2024-09-27,279.55,280.45,277.96,278.34,0.52,+0.19%,67808943
2024-09-26,281.1,281.16,276.96,277.82,-2.93,-1.04%,79129895
2024-09-25,282.46,283.24,280.01,280.75,-1.13,-0.40%,67523454
2024-09-24,280.77,282.92,280,281.88,-0.18,-0.06%,69905207
2024-09-23,280.7,282.09,280.3,282.06,3.14,+1.13%,72719661
2024-09-20,277.73,279.22,277.34,278.92,-0.45,-0.16%,164671892
2024-09-19,282.2,282.2,277.83,279.37,-0.65,-0.23%,91067464
2024-09-18,281.21,283.61,279.73,280.02,-0.83,-0.30%,72257627
2024-09-17,283.12,283.93,280.18,280.85,-2.39,-0.84%,68449314
2024-09-16,283.7,284.34,282.42,283.24,0.6,+0.21%,62228698
2024-09-13,281.83,282.76,281.25,282.64,1.65,+0.59%,64608243
2024-09-12,280.56,281.18,277.92,280.99,0.29,+0.10%,73226081
2024-09-11,278.58,280.93,275.71,280.7,-0.65,-0.23%,71832395
2024-09-10,277.75,281.46,277.22,281.35,4.88,+1.77%,66311810
2024-09-09,273.4,277.09,272.94,276.47,3.15,+1.15%,74356775
2024-09-06,273.3,273.6,270.94,273.32,0.01,0.00%,75171684
2024-09-05,275.77,276.29,272.66,273.31,-1.01,-0.37%,60969080
2024-09-04,273.8,276.85,272.7,274.32,0.69,+0.25%,65558434
2024-09-03,271.16,274.76,271.16,273.63,0.73,+0.27%,71798520
2024-08-30,271.47,273.02,269.54,272.9,2.64,+0.98%,88209282
2024-08-29,271.25,271.25,269.08,270.26,-1.09,-0.40%,56699653
2024-08-28,272.35,273.1,269.88,271.35,-0.96,-0.35%,53543702
2024-08-27,270.09,272.59,269.84,272.31,0.68,+0.25%,54110699
2024-08-26,273.46,273.62,271.28,271.63,-0.33,-0.12%,50221681
2024-08-23,267.58,272.28,267.32,271.96,5.34,+2.00%,60161539
2024-08-22,265.45,266.67,264.66,266.62,1.48,+0.56%,59020427
2024-08-21,264.23,265.42,262.98,265.14,0.86,+0.33%,50674150
2024-08-20,264.52,264.59,263.09,264.28,0.16,+0.06%,46236089
2024-08-19,262.49,264.36,262.36,264.12,1.69,+0.64%,45422375
2024-08-16,262.22,263.33,261.17,262.43,-0.1,-0.04%,60046041
2024-08-15,263.63,263.75,261.6,262.53,-0.9,-0.34%,63862589
2024-08-14,262.67,264.6,262,263.43,1.03,+0.39%,52560253
2024-08-13,262.14,262.76,260.88,262.4,1.85,+0.71%,57871901
2024-08-12,261.02,261.11,258.71,260.55,-1.69,-0.64%,53580664
2024-08-09,261.39,262.88,259.37,262.24,1.28,+0.49%,56037977
2024-08-08,258.39,261.22,257.66,260.96,2.3,+0.89%,63687610
2024-08-07,261.16,264.87,258.5,258.66,-2.09,-0.80%,85303051
