Time,Open,High,Low,Last,Change,%Chg,Volume
2015-07-14,702.71,707.43,702.71,705.43,2.72,+0.39%,0
2015-07-13,691.48,703.44,691.48,702.71,11.23,+1.62%,0
2015-07-10,680.7,693.98,680.7,691.48,10.78,+1.58%,0
2015-07-09,682.88,692.58,680.42,680.7,-2.18,-0.32%,0
2015-07-08,694.36,694.36,682.62,682.88,-11.57,-1.67%,0
2015-07-07,694.16,695.6,681.37,694.45,0.29,+0.04%,0
2015-07-06,697.35,697.43,690.15,694.16,-3.19,-0.46%,0
2015-07-02,696.22,698.44,694.1,697.35,1.13,+0.16%,0
2015-07-01,691.81,699.69,691.81,696.22,4.42,+0.64%,0
2015-06-30,690.77,696.08,689.59,691.8,1.03,+0.15%,0
2015-06-29,706.18,706.18,690.4,690.77,-15.41,-2.18%,0
2015-06-26,712.96,712.96,704.21,706.18,-6.78,-0.95%,0
2015-06-25,715.19,718.82,712.56,712.96,-2.23,-0.31%,0
2015-06-24,718.1,721.18,715.14,715.19,-2.91,-0.41%,0
2015-06-23,718.34,719.45,715.98,718.1,-0.24,-0.03%,0
2015-06-22,713.64,720.69,713.64,718.34,4.88,+0.68%,0
2015-06-19,718.77,719.49,712.84,713.46,-5.29,-0.74%,0
2015-06-18,712.87,719.97,712.87,718.75,5.88,+0.82%,0
2015-06-17,711.37,715.3,708.51,712.87,1.5,+0.21%,0
2015-06-16,707.21,713.02,706.32,711.37,4.16,+0.59%,0
2015-06-15,711.53,711.53,701.42,707.21,-4.32,-0.61%,0
2015-06-12,717.37,717.37,710.86,711.53,-5.84,-0.81%,0
2015-06-11,717.97,722.34,717.01,717.37,-0.6,-0.08%,0
2015-06-10,706.7,719.8,706.7,717.97,11.27,+1.59%,0
2015-06-09,708.02,709.13,701.12,706.7,-1.32,-0.19%,0
2015-06-08,716.74,717.02,706.49,708.02,-8.72,-1.22%,0
2015-06-05,718.22,719.63,713.28,716.74,-1.48,-0.21%,0
2015-06-04,724.94,725.57,716.7,718.22,-6.72,-0.93%,0
2015-06-03,723.78,729.3,723.7,724.94,1.16,+0.16%,0
2015-06-02,725.82,727.69,719.35,723.78,-2.04,-0.28%,0
2015-06-01,723.41,728.27,721.04,725.82,2.41,+0.33%,0
2015-05-29,728.87,729.4,721.71,723.41,-5.46,-0.75%,0
2015-05-28,729.65,730.4,726.84,728.87,-0.78,-0.11%,0
2015-05-27,716.62,730.8,716.62,729.65,13.03,+1.82%,0
